Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7
Beta_2.10,M352,426,42,0,0,0,0,0,22,234,617,294,117,62,43
Beta_2.10,M353,428,34,1,0,0,0,0,31,229,627,292,113,66,51
Beta_2.10,M354,416,33,0,1,0,0,0,29,227,623,297,110,66,57
Beta_2.10,M355,439,36,0,1,0,0,0,32,230,629,281,111,71,63
Beta_2.10,M356,406,29,2,0,1,0,0,38,247,627,239,124,74,74
Beta_2.10,M357,423,24,1,1,0,0,0,45,248,627,233,119,79,84
Beta_2.10,M358,438,29,1,2,0,0,0,49,244,624,224,112,77,92
Beta_2.10,M359,413,30,1,1,1,0,0,51,229,616,230,105,79,102
Beta_2.10,M360,423,24,0,1,1,0,0,39,249,615,252,82,74,113
Beta_2.10,M361,415,24,0,0,1,0,0,28,272,622,265,76,69,125
Beta_2.10,M362,429,27,1,0,0,1,0,20,273,610,288,72,48,139
Beta_2.10,M363,418,31,0,0,0,1,0,12,259,615,310,68,33,155
Beta_2.10,M364,430,37,0,0,0,0,1,15,249,620,313,74,25,138
Beta_2.10,M365,432,35,0,0,0,0,1,21,243,617,312,73,31,66
Beta_2.10,M366,429,37,1,0,0,0,1,23,230,617,323,76,32,88
Beta_2.10,M367,430,28,1,1,0,0,0,14,230,625,322,85,28,121
Beta_2.10,M368,427,33,0,2,0,0,0,7,237,628,308,76,28,135
Beta_2.10,M369,445,33,0,1,1,0,0,6,228,638,299,89,94,58
Beta_2.10,M370,439,27,0,0,1,0,0,12,221,645,294,146,62,38
Beta_2.10,M371,450,31,0,0,0,0,0,13,218,641,332,144,21,37
Beta_2.10,M372,424,31,1,0,0,0,0,14,217,680,337,106,17,36
Beta_2.10,M373,443,23,2,0,0,0,0,10,277,655,306,105,21,33
Beta_2.10,M374,434,28,0,2,0,0,0,20,270,636,288,108,20,31
Beta_2.10,M375,428,31,0,1,1,0,0,3,261,643,273,107,22,30
Beta_2.10,M376,441,34,0,0,2,0,0,3,266,653,267,109,24,28
Beta_2.10,M377,447,30,1,0,0,1,0,4,275,656,263,113,23,27
Beta_2.10,M378,441,33,0,1,0,0,0,3,276,665,287,114,21,26
Beta_2.10,M379,440,39,0,0,0,0,0,3,271,672,292,117,23,25
Beta_2.10,M380,452,29,0,0,0,0,0,3,272,674,272,118,24,24
Beta_2.10,M381,462,39,0,0,0,0,0,1,267,681,286,116,22,24
Beta_2.10,M382,439,30,0,0,0,0,0,1,275,677,274,115,32,23
Beta_2.10,M383,436,39,1,0,0,0,0,7,269,681,273,107,43,24
Beta_2.10,M384,445,30,2,1,0,0,0,13,249,687,285,99,45,25
Beta_2.10,M385,443,35,2,1,0,0,0,17,234,683,290,87,48,25
Beta_2.10,M386,451,35,0,2,1,0,0,20,252,676,270,91,41,28
Beta_2.10,M387,441,38,2,2,0,1,0,19,246,682,270,95,36,26
Beta_2.10,M388,486,36,2,0,2,1,0,20,262,664,257,102,38,20
Beta_2.10,M389,447,42,0,2,0,0,1,17,263,683,239,111,42,2
Beta_2.10,M390,456,35,0,2,0,0,1,13,281,678,215,129,47,0
Beta_2.10,M391,479,42,0,0,1,0,0,11,280,685,202,120,49,3
Beta_2.10,M392,472,37,0,0,0,0,0,17,298,713,198,117,53,6
Beta_2.10,M393,452,39,0,0,0,0,0,16,300,718,190,129,55,8
Beta_2.10,M394,442,45,0,0,0,0,0,16,304,704,210,132,59,10
Beta_2.10,M395,469,41,1,0,0,0,0,16,311,726,202,129,61,14
Beta_2.10,M396,427,44,0,0,0,0,0,17,303,704,208,123,63,22
Beta_2.10,M397,438,45,1,0,0,0,0,17,321,716,216,112,64,30
Beta_2.10,M398,440,40,2,0,0,0,0,32,321,716,197,111,67,37
Beta_2.10,M399,457,43,0,2,0,0,0,34,321,690,199,108,70,44
Beta_2.10,M400,454,35,0,2,0,0,0,47,304,690,207,98,80,54
Beta_2.10,M401,446,33,0,0,2,0,0,56,295,690,217,98,85,62
Beta_2.10,M402,465,37,1,0,0,0,0,49,292,678,229,87,91,73
Beta_2.10,M403,452,26,2,0,0,0,0,39,311,679,248,65,97,83
Beta_2.10,M404,469,33,1,1,0,0,0,35,314,680,253,62,95,95
Beta_2.10,M405,465,23,1,1,1,0,0,36,309,695,249,59,75,105
Beta_2.10,M406,470,32,1,1,0,1,0,38,298,698,251,57,71,127
Beta_2.10,M407,464,31,1,1,0,1,0,33,310,678,262,83,50,145
Beta_2.10,M408,484,34,2,0,1,0,1,24,322,665,260,102,31,148
Beta_2.10,M409,471,32,0,1,1,0,1,15,334,670,267,91,30,91
Beta_2.10,M410,462,37,0,0,1,0,1,10,328,663,292,62,34,86
Beta_2.10,M411,463,25,1,0,1,0,0,15,322,683,311,51,37,115
Beta_2.10,M412,470,26,0,0,0,0,0,22,305,693,278,53,30,132
Beta_2.10,M413,453,29,0,0,0,0,0,22,303,709,264,57,95,61
Beta_2.10,M414,453,25,0,0,0,0,0,15,312,704,280,102,62,41
Beta_2.10,M415,450,32,1,0,0,0,0,11,317,701,340,97,24,36
Beta_2.10,M416,451,26,1,0,0,0,0,11,304,749,346,52,17,36
Beta_2.10,M417,458,34,1,1,0,0,0,13,345,744,270,62,22,33
Beta_2.10,M418,416,27,1,1,0,0,0,31,334,736,240,77,18,31
Beta_2.10,M419,440,39,1,1,0,0,0,24,317,737,219,89,15,30
Beta_2.10,M420,428,33,1,1,0,0,0,11,344,733,191,106,15,28
Beta_2.10,M421,411,42,0,1,0,0,0,4,358,732,171,108,14,27
Beta_2.10,M422,442,34,0,0,1,0,0,3,367,757,142,119,14,26
Beta_2.10,M423,417,45,0,0,0,0,0,2,376,762,149,104,15,24
Beta_2.10,M424,449,49,0,0,0,0,0,5,355,757,165,104,16,23
