Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36
Beta_1.4,u_393,41,102,378,10,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,11,3,4,1,0,1,1,0,0,0,1,3,1,2,2,2,3,1,0,2,1,2,2,2,1,3,0,3,4,22,125,769,90,11
Beta_1.4,u_394,42,89,395,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,2,0,0,1,1,6,2,0,2,5,3,1,6,4,1,2,5,1,0,0,0,2,0,2,2,1,5,0,2,4,2,0,2,4,16,128,738,116,16
Beta_1.4,u_395,37,97,418,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,1,7,2,3,4,1,0,0,0,1,3,0,0,2,5,5,3,3,4,6,1,3,6,2,2,0,2,1,3,2,11,128,687,137,10
Beta_1.4,u_396,28,103,447,11,1,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,5,1,2,5,1,1,2,1,2,4,1,3,5,2,1,0,0,0,0,2,2,1,3,1,7,4,0,7,5,4,18,112,692,132,12
Beta_1.4,u_397,26,87,451,15,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,1,2,0,3,3,0,2,1,6,1,2,1,2,0,1,4,3,1,5,5,1,1,0,0,1,3,5,17,130,678,167,16
Beta_1.4,u_398,32,71,422,6,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,2,0,1,1,1,3,0,0,0,0,2,0,0,0,0,2,1,1,0,2,5,1,2,1,2,8,2,2,0,1,1,4,7,5,19,123,691,155,19
Beta_1.4,u_399,31,75,405,10,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,1,0,0,2,3,2,0,0,0,1,1,3,1,0,0,0,0,0,0,2,0,0,0,3,2,3,4,1,1,4,3,4,3,7,17,117,774,177,17
Beta_1.4,u_400,35,71,368,10,0,0,2,1,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,3,4,0,0,0,0,2,0,1,1,1,0,0,1,1,2,3,1,0,1,0,0,1,1,1,4,1,4,2,6,22,119,800,149,18
Beta_1.4,u_401,32,92,356,2,2,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,3,5,2,0,4,3,0,0,0,0,0,1,0,0,0,0,4,3,3,1,0,0,0,3,1,2,4,3,2,1,10,110,818,128,22
Beta_1.6,u_001,32,81,279,153,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,3,6,1,1,1,1,2,0,1,0,0,4,1,5,1,3,2,2,5,5,7,5,2,4,5,4,2,1,5,13,61,515,399,78,23
